index,Drug_Name,Reason,Description,Treatment
202,Epinephrine (EpiPen),Angioedema,Emergency treatment for severe angioedema,Carry epinephrine (EpiPen) for emergency treatment of severe angioedema with airway compromise. Seek immediate medical attention after using epinephrine.
203,Identify and Avoid Triggers,Angioedema,Preventive measures to avoid angioedema triggers,Identify and avoid triggers (e.g. certain foods and medications) that can induce angioedema. Educate family members and caregivers on recognizing symptoms.
204,Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),Ankylosing Spondylitis,Medication for pain and inflammation in ankylosing spondylitis,Use NSAIDs like ibuprofen or naproxen for pain relief and inflammation management in ankylosing spondylitis. Practice regular exercise and maintain good posture.
205,Tumor Necrosis Factor (TNF) Inhibitors (e.g. Adalimumab),Ankylosing Spondylitis,Biologic therapy for ankylosing spondylitis,Take TNF inhibitors like adalimumab to reduce inflammation and disease progression in ankylosing spondylitis. Follow up with rheumatologist for monitoring.
206,Physical Therapy (PT) and Exercise,Ankylosing Spondylitis,Rehabilitation therapy and exercise for ankylosing spondylitis,Participate in physical therapy (PT) and regular exercise to improve flexibility and mobility in ankylosing spondylitis. Use heat therapy for symptom relief.
207,Disease-Modifying Antirheumatic Drugs (DMARDs),Ankylosing Spondylitis,Medication to slow disease progression in ankylosing spondylitis,Use DMARDs like methotrexate or sulfasalazine to slow disease progression and manage symptoms in ankylosing spondylitis. Monitor for side effects.
208,Education and Spinal Health Awareness,Ankylosing Spondylitis,Information on spinal health and disease management,Receive education on spinal health and disease management strategies for ankylosing spondylitis. Practice good posture and use ergonomic tools.
209,Avoid Smoking and Maintain Healthy Weight,Ankylosing Spondylitis,Lifestyle modifications for ankylosing spondylitis,Quit smoking and maintain a healthy weight to reduce disease progression and complications in ankylosing spondylitis. Engage in regular physical activity.
210,Calcium and Vitamin D Supplements,Ankylosing Spondylitis,Supportive therapy for bone health in ankylosing spondylitis,Take calcium and vitamin D supplements to support bone health and prevent osteoporosis in ankylosing spondylitis. Follow dietary recommendations and sun exposure guidelines.
211,Beta-Blockers (e.g. Metoprolol),Aortic Aneurysm,Medication to reduce blood pressure and heart rate,Take beta-blockers like metoprolol to reduce blood pressure and heart rate reducing the risk of aortic aneurysm rupture. Follow up with cardiologist regularly.
212,Losartan (50 mg tablet),Aortic Aneurysm,Angiotensin receptor blocker (ARB) for aortic aneurysm management,Use losartan 50 mg tablet to manage blood pressure and reduce stress on the aorta in aortic aneurysm. Monitor blood pressure and kidney function.
213,Surgical Repair,Aortic Aneurysm,Surgical intervention for aortic aneurysm,Undergo surgical repair (e.g. endovascular stent grafting or open surgery) for aortic aneurysm to prevent rupture. Follow post-operative care instructions and lifestyle modifications.
214,Smoking Cessation Program,Aortic Aneurysm,Lifestyle modification to reduce risk of aortic aneurysm progression,Participate in smoking cessation program to reduce risk of aortic aneurysm progression and complications. Avoid exposure to secondhand smoke.
215,Blood Pressure Management,Aortic Dissection,Control blood pressure to prevent aortic dissection progression,Monitor blood pressure regularly and use antihypertensive medications as prescribed to manage aortic dissection and prevent complications. Avoid strenuous activities.
216,Nicardipine (IV infusion),Aortic Dissection,Calcium channel blocker for aortic dissection,Receive nicardipine IV infusion to manage blood pressure and reduce stress on the aorta in aortic dissection. Monitor blood pressure and heart rate closely.
217,Emergency Surgical Intervention,Aortic Dissection,Immediate surgical treatment for acute aortic dissection,Undergo emergency surgical intervention (e.g. thoracic aortic repair) for acute aortic dissection. Follow post-operative care instructions and lifestyle modifications.
218,Beta-Blockers (e.g. Atenolol),Aortic Dissection,Medication to reduce heart rate and aortic stress,Take beta-blockers like atenolol to reduce heart rate and decrease stress on the aorta in aortic dissection. Avoid activities that increase blood pressure.
219,Speech Therapy,Aphasia,Rehabilitation therapy for aphasia,Participate in speech therapy sessions to improve communication skills and language abilities in aphasia. Practice exercises and use alternative communication methods as needed.
220,Occupational Therapy,Aphasia,Functional training for daily activities in aphasia,Receive occupational therapy to regain and enhance daily living skills affected by aphasia. Adapt environment and use assistive devices to facilitate independence.
221,Medication for Symptom Management,Aphasia,Pharmacological treatment for aphasia symptoms,Use medications (e.g. antidepressants or stimulants) to manage underlying causes or symptoms of aphasia. Follow up with neurologist or speech-language pathologist.
222,Appendectomy,Appendicitis,Surgical removal of appendix for appendicitis,Undergo appendectomy (surgical removal of the appendix) for acute appendicitis. Follow post-operative care instructions and monitor for signs of infection.
223,Antibiotics (e.g. Ceftriaxone),Appendicitis,Antibiotic therapy for appendicitis,Receive antibiotics like ceftriaxone for appendicitis treatment especially in cases of uncomplicated appendicitis. Complete full course of treatment as prescribed.
224,IV Fluids and NPO Status,Appendicitis,Fluid management and dietary restrictions in appendicitis,Receive IV fluids and maintain NPO (nothing by mouth) status before surgery for appendicitis. Follow post-operative dietary recommendations.
225,Pain Management,Appendicitis,Medication for pain relief in appendicitis,Use pain medications (e.g. acetaminophen or opioids) to manage pain associated with appendicitis. Monitor for side effects and follow up with healthcare provider.
226,Smoking Cessation Program,Asbestosis,Lifestyle modification to reduce risk of asbestosis progression,Participate in smoking cessation program to reduce risk of asbestosis progression and complications. Avoid exposure to asbestos-containing materials.
227,Oxygen Therapy,Asbestosis,Supplemental oxygen therapy for asbestosis-related respiratory failure,Use oxygen therapy to improve oxygen levels and relieve respiratory symptoms in asbestosis-related respiratory failure. Avoid exposure to respiratory irritants.
228,Pulmonary Rehabilitation,Asbestosis,Exercise and education program for asbestosis management,Participate in pulmonary rehabilitation program to improve lung function and quality of life in asbestosis. Practice breathing exercises and adopt energy conservation techniques.
229,Supportive Care,Asbestosis,Symptomatic treatment and care for asbestosis,Receive supportive care including nutritional support symptom management and psychosocial support for asbestosis. Avoid smoking and maintain a healthy lifestyle.
230,Albendazole (400 mg tablet),Ascariasis,Anti-parasitic medication for ascariasis,Take albendazole 400 mg tablet for treatment of ascariasis (roundworm infection). Repeat treatment as needed based on infection severity. Practice good hygiene to prevent re-infection.
231,Mebendazole (500 mg tablet),Ascariasis,Alternative anti-parasitic therapy for ascariasis,Use mebendazole 500 mg tablet as an alternative treatment for ascariasis. Monitor for side effects and follow up with healthcare provider for treatment response.
232,Hygiene Education,Ascariasis,Preventive measures to avoid ascariasis transmission,Receive education on hygiene practices including handwashing and sanitation to prevent ascariasis transmission. Drink clean safe water and avoid eating raw or unwashed produce.
233,Anthelmintic Medications,Ascariasis,Medication to eradicate intestinal worms in ascariasis,Use anthelmintic medications (e.g. pyrantel pamoate) to eradicate intestinal worms and treat ascariasis. Follow up with healthcare provider for treatment efficacy.
234,Chemotherapy (e.g. CHOP regimen),AIDS-Related Lymphoma,Chemotherapy regimen for AIDS-related lymphoma,Receive chemotherapy (e.g. CHOP regimen) for treatment of AIDS-related lymphoma. Follow oncologist's recommendations and manage chemotherapy side effects.
235,Rituximab (375 mg/m^2 IV infusion),AIDS-Related Lymphoma,Monoclonal antibody therapy for AIDS-related lymphoma,Receive rituximab IV infusion for targeted therapy in AIDS-related lymphoma. Monitor for infusion reactions and follow up with hematologist/oncologist.
236,Antiretroviral Therapy (ART),AIDS-Related Lymphoma,Combination antiretroviral therapy for HIV/AIDS and lymphoma,Initiate antiretroviral therapy (ART) to suppress HIV viral load and manage AIDS-related lymphoma. Adhere to medication regimen and attend regular follow-up appointments.
237,Palliative Care, AIDS-Related Lymphoma,Symptom management and supportive care in advanced disease,Receive palliative care for symptom management and emotional support in advanced AIDS-related lymphoma. Discuss end-of-life preferences and care goals.
238,Proton Pump Inhibitors (e.g. omeprazole),Acid Reflux (GERD),Medication to reduce stomach acid production,Take proton pump inhibitors like omeprazole for acid reflux (GERD) to reduce stomach acid and relieve symptoms. Avoid trigger foods and elevate head of bed.
239,H2 Receptor Blockers (e.g. ranitidine),Acid Reflux (GERD),Histamine-2 receptor antagonist for acid reflux,Use H2 receptor blockers like ranitidine as an alternative treatment for acid reflux (GERD). Follow up with gastroenterologist for symptom management.
240,Lifestyle Modifications,Acid Reflux (GERD),Dietary and lifestyle changes to manage acid reflux,Implement lifestyle modifications including weight loss then dietary adjustments and avoiding late-night eating to manage acid reflux (GERD) symptoms. Elevate head of bed.
241,Fundoplication Surgery,Acid Reflux (GERD),Surgical intervention for severe acid reflux,Consider fundoplication surgery for severe acid reflux (GERD) that does not respond to medications or lifestyle changes. Follow post-operative dietary guidelines.
242,Benzoyl Peroxide (5% gel),Acne,Topical treatment for mild to moderate acne,Apply benzoyl peroxide 5% gel to affected areas for acne treatment. Start with once-daily application and gradually increase as tolerated. Use non-comedogenic moisturizers.
243,Retinoids (e.g. tretinoin),Acne,Topical retinoid for acne treatment,Use retinoids like tretinoin for acne to promote skin cell turnover and prevent clogged pores. Apply at night and use sunscreen during the day.
244,Oral Antibiotics (e.g. doxycycline),Acne,Systemic antibiotic therapy for acne,Take oral antibiotics like doxycycline for moderate to severe acne. Complete full course of treatment and use topical treatments concurrently. Avoid prolonged use to prevent antibiotic resistance.
245,Isotretinoin (Accutane),Acne,Oral retinoid for severe cystic acne,Consider isotretinoin (Accutane) for severe cystic acne unresponsive to other treatments. Follow up closely with dermatologist for monitoring and management of side effects.
246,Penicillin (Oral or IV),Actinomycosis,Antibiotic treatment for actinomycosis,Take oral or IV penicillin for actinomycosis treatment. Follow antibiotic regimen for extended period. Consider surgical drainage for abscesses if needed.
247,Tetracycline (500 mg capsule),Actinomycosis,Alternative antibiotic therapy for actinomycosis,Use tetracycline 500 mg capsule as an alternative antibiotic treatment for actinomycosis. Complete full course of treatment as prescribed.
248,Surgical Drainage,Actinomycosis,Surgical intervention for actinomycosis abscesses,Undergo surgical drainage of abscesses in actinomycosis cases. Follow post-operative care instructions and continue antibiotic therapy.
249,Supportive Care,Actinomycosis,Symptomatic treatment and care for actinomycosis,Receive supportive care including pain management and wound care for actinomycosis. Practice good oral hygiene and avoid smoking.
250,Bronchodilators (e.g. albuterol),Acute Bronchitis,Medication for bronchodilation in acute bronchitis,Use bronchodilators like albuterol for acute bronchitis to relieve airway constriction and improve breathing. Follow up with primary care provider for symptom management.
251,Expectorants (e.g. guaifenesin),Acute Bronchitis,Medication to promote cough and mucus clearance,Take expectorants like guaifenesin to thin mucus and facilitate cough clearance in acute bronchitis. Stay hydrated and rest.
252,Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),Acute Bronchitis,Medication for pain and inflammation in acute bronchitis,Use NSAIDs like ibuprofen or acetaminophen for pain relief and reduce inflammation in acute bronchitis. Monitor for side effects.
253,Rest and Hydration,Acute Bronchitis,Supportive care including rest and fluid intake,Get plenty of rest and stay hydrated to support recovery from acute bronchitis. Use humidifiers to ease breathing and avoid irritants.
254,Fluid Management,Acute Kidney Injury,Optimize fluid intake and output in acute kidney injury,Monitor fluid balance closely and adjust fluid intake based on kidney function in acute kidney injury. Restrict sodium and potassium intake as needed.
255,Dialysis (Hemodialysis or Peritoneal Dialysis),Acute Kidney Injury,Renal replacement therapy for acute kidney injury,Undergo dialysis (hemodialysis or peritoneal dialysis) for renal replacement therapy in acute kidney injury. Follow dietary restrictions and fluid management guidelines.
256,Medication Adjustment,Acute Kidney Injury,Adjustment of medications based on kidney function,Modify medication doses and frequency based on renal function in acute kidney injury. Avoid nephrotoxic medications and monitor for adverse effects.
257,Nutritional Support,Acute Kidney Injury,Dietary modifications and supplements for kidney health,Receive nutritional support including protein and calorie intake optimization to support kidney health in acute kidney injury. Monitor electrolytes and fluid status.
258,Chemotherapy (e.g. vincristine),Acute Lymphocytic Leukemia (ALL),Chemotherapy regimen for acute lymphocytic leukemia,Receive chemotherapy (e.g. vincristine) as part of induction therapy for acute lymphocytic leukemia (ALL). Follow hematologist/oncologist's treatment plan.
259,Intrathecal Chemotherapy,Acute Lymphocytic Leukemia (ALL),Central nervous system-directed chemotherapy for ALL,Undergo intrathecal chemotherapy to prevent or treat central nervous system involvement in acute lymphocytic leukemia (ALL). Monitor for neurological side effects.
260,Stem Cell Transplantation,Acute Lymphocytic Leukemia (ALL),Hematopoietic stem cell transplant for ALL,Consider stem cell transplantation for refractory or relapsed acute lymphocytic leukemia (ALL). Follow transplant team's recommendations for pre- and post-transplant care.
261,Supportive Care,Acute Lymphocytic Leukemia (ALL),Symptom management and supportive therapies in ALL,Receive supportive care including blood transfusions/ infection prevention and psychosocial support in acute lymphocytic leukemia (ALL). Manage treatment-related side effects.
262,Chemotherapy (e.g. cytarabine),Acute Myeloid Leukemia (AML),Chemotherapy regimen for acute myeloid leukemia,Undergo chemotherapy (e.g. cytarabine) as induction therapy for acute myeloid leukemia (AML). Monitor for treatment response and manage chemotherapy side effects.
263,Stem Cell Transplantation,Acute Myeloid Leukemia (AML),Hematopoietic stem cell transplant for AML,Consider stem cell transplantation for eligible patients with acute myeloid leukemia (AML). Follow transplant team's recommendations for pre- and post-transplant care.
264,Targeted Therapy (e.g. midostaurin),Acute Myeloid Leukemia (AML),Molecularly targeted therapy for AML with specific mutations,Receive targeted therapy (e.g. midostaurin) for AML with specific genetic mutations (e.g. FLT3). Monitor for treatment response and side effects.
265,Supportive Care,Acute Myeloid Leukemia (AML),Symptom management and supportive therapies in AML,Receive supportive care including blood transfusions/ infection prevention and psychosocial support in acute myeloid leukemia (AML). Manage treatment-related side effects.
266,NPO Status (Nothing by Mouth),Acute Pancreatitis,Dietary restriction and fluid management in acute pancreatitis,Maintain NPO (nothing by mouth) status and administer IV fluids to rest the pancreas in acute pancreatitis. Monitor for signs of improvement before reintroducing oral diet.
267,Pain Management,Acute Pancreatitis,Medication for pain relief in acute pancreatitis,Use analgesics (e.g. opioids or non-opioids) for pain management in acute pancreatitis. Administer antiemetics if nausea and vomiting are present.
268,Enzyme Replacement Therapy,Acute Pancreatitis,Supplemental enzymes for pancreatic insufficiency in acute pancreatitis,Consider enzyme replacement therapy for pancreatic insufficiency resulting from acute pancreatitis. Optimize nutritional status and monitor for malabsorption.
269,Enteral Nutrition,Acute Pancreatitis,Feeding through a tube for nutritional support in acute pancreatitis,Initiate enteral nutrition through a feeding tube to provide nutritional support in severe acute pancreatitis. Monitor for gastrointestinal tolerance and adjust feeding regimen.
270,Mechanical Ventilation,Acute Respiratory Distress Syndrome (ARDS),Assisted breathing support in ARDS,Initiate mechanical ventilation to support oxygenation and ventilation in acute respiratory distress syndrome (ARDS). Adjust ventilator settings based on lung compliance and oxygenation.
271,Prone Positioning,Acute Respiratory Distress Syndrome (ARDS),Positioning therapy to improve oxygenation in ARDS,Implement prone positioning to optimize oxygenation and ventilation in acute respiratory distress syndrome (ARDS). Monitor for complications and perform frequent assessments.
272,Fluid Restriction and Diuretics,Acute Respiratory Distress Syndrome (ARDS),Fluid management to optimize oxygenation,Restrict fluid intake and use diuretics to achieve euvolemia and improve oxygenation in acute respiratory distress syndrome (ARDS). Monitor electrolytes and renal function.
273,Sedation and Analgesia,Acute Respiratory Distress Syndrome (ARDS),Medication for comfort and anxiety management in ARDS,Provide sedation and analgesia to reduce anxiety and discomfort in acute respiratory distress syndrome (ARDS) patients on mechanical ventilation. Monitor for respiratory depression.
274,Nasal Decongestants (e.g. oxymetazoline),Acute Sinusitis,Topical decongestant for acute sinusitis,Use nasal decongestants like oxymetazoline for symptomatic relief of nasal congestion in acute sinusitis. Limit use to avoid rebound congestion.
275,Sinus Irrigation,Acute Sinusitis,Nasal saline irrigation for acute sinusitis,Perform nasal saline irrigation to flush out nasal secretions and reduce inflammation in acute sinusitis. Use sterile or distilled water for irrigation.
276,Antibiotics (e.g. amoxicillin-clavulanate),Acute Sinusitis,Empiric antibiotic therapy for acute bacterial sinusitis,Initiate antibiotic therapy (e.g. amoxicillin-clavulanate) for acute bacterial sinusitis based on severity and suspected pathogens. Complete full course of treatment.
277,Topical Corticosteroids (e.g. fluticasone),Acute Sinusitis,Intranasal corticosteroid for acute sinusitis,Use intranasal corticosteroids like fluticasone to reduce nasal inflammation and symptoms in acute sinusitis. Follow up with healthcare provider for treatment response.
278,Psychoeducation,Acute Stress Disorder,Information on acute stress disorder and coping strategies,Receive psychoeducation on acute stress disorder and stress management techniques. Practice relaxation exercises and engage in social support.
279,Cognitive Behavioral Therapy (CBT),Acute Stress Disorder,Psychotherapy for acute stress disorder,Participate in cognitive behavioral therapy (CBT) to address maladaptive thoughts and behaviors associated with acute stress disorder. Develop coping skills and resilience.
280,Medication (e.g. SSRIs),Acute Stress Disorder,Pharmacological treatment for acute stress disorder symptoms,Use selective serotonin reuptake inhibitors (SSRIs) for treatment of acute stress disorder symptoms (e.g. anxiety/ hypervigilance). Monitor for medication response and side effects.
281,Gradual Exposure Therapy,Acute Stress Disorder,Exposure-based therapy for acute stress disorder,Engage in gradual exposure therapy to desensitize to triggers and reduce symptoms of acute stress disorder. Progressively confront feared situations under therapist guidance.
282,Adenoidectomy,Adenoiditis,Surgical removal of adenoids for recurrent adenoiditis,Consider adenoidectomy for recurrent adenoiditis causing obstructive symptoms or chronic infections. Follow post-operative care instructions and monitor for complications.
283,Amoxicillin (Oral),Adenoiditis,First-line antibiotic therapy for adenoiditis,Prescribe oral amoxicillin for adenoiditis treatment especially in cases of bacterial infection. Complete full course of treatment as prescribed.
284,Topical Nasal Steroids,Adenoiditis,Intranasal corticosteroid for adenoiditis,Use topical nasal steroids to reduce inflammation and symptoms of adenoiditis. Administer as directed by ENT specialist and monitor for improvement.
285,Salt Water Gargles,Adenoiditis,Home remedy for soothing throat in adenoiditis,Perform salt water gargles to soothe throat and reduce discomfort associated with adenoiditis. Use warm water and avoid swallowing gargle solution.
286,Supportive Care,Adenovirus Infection,Symptomatic treatment and care for adenovirus infection,Receive supportive care including rest with hydration and fever management for adenovirus infection. Avoid close contact with others to prevent transmission.
287,Intravenous Immunoglobulin (IVIG),Adenovirus Infection,Immunoglobulin therapy for severe adenovirus infection,Consider intravenous immunoglobulin (IVIG) for severe or disseminated adenovirus infection. Administer under infectious disease specialist's guidance.
288,Isolation Precautions,Adenovirus Infection,Infection control measures to prevent adenovirus spread,Implement isolation precautions (e.g. airborne/droplet/contact) to prevent adenovirus transmission in healthcare settings. Educate contacts on hygiene and prevention measures.
289,Respiratory Support,Adenovirus Infection,Oxygen therapy or mechanical ventilation for severe respiratory symptoms,Provide respiratory support including oxygen therapy or mechanical ventilation for severe respiratory symptoms in adenovirus infection. Monitor for complications.
290,Corticosteroid Replacement Therapy,Adrenal Insufficiency,Hormone replacement therapy for adrenal insufficiency,Initiate corticosteroid replacement therapy (e.g. hydrocortisone) for adrenal insufficiency. Monitor adrenal function and adjust dosage as needed.
291,Fludrocortisone (Mineralocorticoid),Adrenal Insufficiency,Mineralocorticoid replacement therapy for adrenal insufficiency,Prescribe fludrocortisone to replace aldosterone function in adrenal insufficiency. Monitor electrolytes and blood pressure closely.
292,Stress Dose Steroids,Adrenal Insufficiency,Steroid supplementation during stress in adrenal insufficiency,Administer stress dose steroids (e.g. hydrocortisone) during illness or stress to prevent adrenal crisis in adrenal insufficiency. Carry emergency medical identification.
293,Dietary Sodium Restriction,Adrenal Insufficiency,Low sodium diet to prevent fluid imbalance in adrenal insufficiency,Adhere to dietary sodium restriction to prevent fluid imbalance and electrolyte disturbances in adrenal insufficiency. Monitor fluid status and blood pressure.
294,Nonsteroidal Anti-Inflammatory Drugs (NSAIDs),Adult Still's Disease,Medication for inflammation and pain in Adult Still's Disease,Use NSAIDs (e.g. ibuprofen) to reduce inflammation and manage pain in Adult Still's Disease. Monitor for gastrointestinal side effects and renal function.
295,Methotrexate (15 mg tablet),Adult Still's Disease,Disease-modifying antirheumatic drug (DMARD) for Adult Still's Disease,Take methotrexate 15 mg tablet as a first-line DMARD for Adult Still's Disease to suppress disease activity. Monitor for liver function and blood counts.
296,Tocilizumab (IV infusion),Adult Still's Disease,Monoclonal antibody therapy for Adult Still's Disease,Receive tocilizumab IV infusion to block interleukin-6 (IL-6) in Adult Still's Disease and reduce inflammation. Monitor for infusion reactions and infection risk.
297,Corticosteroids (e.g. prednisone),Adult Still's Disease,Systemic corticosteroid therapy for Adult Still's Disease flares,Use corticosteroids like prednisone for acute flares of Adult Still's Disease. Taper doses gradually and monitor for adrenal suppression.
298,Granulocyte Colony-Stimulating Factor (G-CSF),Agranulocytosis,Hematopoietic growth factor for agranulocytosis,Administer granulocyte colony-stimulating factor (G-CSF) to stimulate white blood cell production in agranulocytosis. Monitor blood counts closely.
299,Antibiotics (e.g. broad-spectrum),Agranulocytosis,Empiric antibiotic therapy for neutropenic fever,Initiate broad-spectrum antibiotics for empiric treatment of neutropenic fever in agranulocytosis. Adjust therapy based on culture results.
300,Intravenous Immunoglobulin (IVIG),Agranulocytosis,Immunoglobulin therapy for severe infections in agranulocytosis,Consider intravenous immunoglobulin (IVIG) for severe infections in agranulocytosis. Administer under infectious disease specialist's guidance.
301,Transfusion Support,Agranulocytosis,Blood transfusions for severe anemia in agranulocytosis,Provide blood transfusions to manage severe anemia secondary to agranulocytosis. Monitor hemoglobin levels and transfusion reactions.
302,Oxygen Therapy,Air Embolism,Supplemental oxygen therapy for air embolism,Initiate oxygen therapy to improve oxygenation and treat respiratory distress in air embolism. Position patient in left lateral decubitus or Trendelenburg position.
303,Hyperbaric Oxygen Therapy,Air Embolism,High-pressure oxygen therapy for air embolism,Consider hyperbaric oxygen therapy for air embolism to rapidly eliminate air bubbles from circulation. Administer under critical care supervision.
304,Aspirin (81 mg tablet),Air Embolism,Antiplatelet therapy to prevent thrombosis in air embolism,Administer aspirin 81 mg tablet to reduce platelet aggregation and prevent thrombosis in air embolism. Monitor for bleeding complications.
305,Beta-Blockers (e.g. propranolol),Akathisia,Medication for akathisia symptoms,Use beta-blockers like propranolol to manage physical symptoms of akathisia (restlessness/ agitation). Start with low doses and titrate based on response.
306,Benzodiazepines (e.g. lorazepam),Akathisia,Anxiolytic therapy for akathisia,Prescribe benzodiazepines like lorazepam for acute management of akathisia-related anxiety and agitation. Use short-term to avoid dependency.
307,Anticholinergics (e.g. benztropine),Akathisia,Medication to counteract extrapyramidal symptoms in akathisia,Consider anticholinergic agents like benztropine to reduce involuntary movements associated with akathisia. Monitor for side effects and response.
308,Cognitive Behavioral Therapy (CBT),Akathisia,Psychotherapy for coping with akathisia,Engage in cognitive behavioral therapy (CBT) to address distress and maladaptive thoughts associated with akathisia. Develop coping strategies and relaxation techniques.
309,Gabapentin (300 mg capsule),Alcoholic Neuropathy,Medication for neuropathic pain in alcoholic neuropathy,Prescribe gabapentin 300 mg capsule for neuropathic pain management in alcoholic neuropathy. Titrate dosage based on pain relief and tolerability.
310,Vitamin B Complex,Alcoholic Neuropathy,Supplementation for vitamin deficiencies in alcoholic neuropathy,Provide vitamin B complex supplementation to address nutritional deficiencies contributing to alcoholic neuropathy. Monitor vitamin levels regularly.
311,Antidepressants (e.g. amitriptyline),Alcoholic Neuropathy,Medication for neuropathic symptoms and depression,Consider antidepressants like amitriptyline for pain relief and mood stabilization in alcoholic neuropathy. Monitor for side effects and response.
312,Physical Therapy,Alcoholic Neuropathy,Exercise and rehabilitation for functional improvement,Initiate physical therapy for alcoholic neuropathy to improve strength with balance and coordination. Focus on fall prevention and mobility training.
313,Nitisinone (2 mg tablet),Alkaptonuria,Medication for alkaptonuria treatment,Use nitisinone 2 mg tablet to reduce homogentisic acid levels and manage alkaptonuria. Monitor ochronosis progression and renal function regularly.
314,Dietary Protein Restriction,Alkaptonuria,Low-protein diet to minimize homogentisic acid production,Implement dietary protein restriction to reduce homogentisic acid accumulation in alkaptonuria. Monitor nutritional status and adjust diet as needed.
315,Joint Replacement Surgery,Alkaptonuria,Surgical intervention for severe joint damage in alkaptonuria,Consider joint replacement surgery for severe joint damage resulting from alkaptonuria. Follow post-operative rehabilitation guidelines.
316,Pain Management,Alkaptonuria,Medication for pain relief in alkaptonuria-related arthritis,Use analgesics and anti-inflammatory medications for pain management in alkaptonuria-related arthritis. Consider joint injections for localized symptoms.
317,Intranasal Corticosteroids,Allergic Rhinitis,First-line treatment for allergic rhinitis symptoms,Use intranasal corticosteroids like fluticasone for allergic rhinitis to reduce nasal inflammation and congestion. Administer regularly during allergy season.
318,Antihistamines (e.g. cetirizine),Allergic Rhinitis,Oral antihistamines for allergic rhinitis,Take oral antihistamines like cetirizine for relief of allergic rhinitis symptoms including sneezing and itching. Choose non-sedating formulations for daytime use.
319,Leukotriene Receptor Antagonists (e.g. montelukast),Allergic Rhinitis,Alternative medication for allergic rhinitis,Consider leukotriene receptor antagonists like montelukast for allergic rhinitis not fully controlled by other medications. Monitor for side effects.
320,Allergen Avoidance,Allergic Rhinitis,Environmental control measures to reduce allergen exposure,Implement allergen avoidance strategies (e.g. dust mite covers/ air purifiers) to minimize allergic rhinitis symptoms. Keep windows closed during peak pollen seasons.
321,Epinephrine Auto-injector (EpiPen),Allergies,Emergency treatment for severe allergic reactions,Carry epinephrine auto-injector (EpiPen) for immediate treatment of severe allergic reactions (anaphylaxis). Administer and seek emergency medical assistance.
322,Allergen Immunotherapy (Allergy Shots),Allergies,Desensitization therapy for allergies,Undergo allergen immunotherapy (allergy shots) to desensitize to specific allergens and reduce allergic reactions over time. Follow allergist's treatment schedule.
323,Antihistamine Eye Drops,Allergies,Topical treatment for allergic conjunctivitis,Use antihistamine eye drops to relieve itching and redness associated with allergic conjunctivitis (eye allergies). Apply as needed during allergy season.
324,Saline Nasal Irrigation,Allergies,Nasal hygiene for allergic rhinitis symptoms,Perform saline nasal irrigation to flush out allergens and reduce nasal congestion in allergic rhinitis. Use sterile or distilled water for irrigation.
325,Beta-Blockers (e.g. propranolol),Akathisia,Medication for akathisia symptoms,Use beta-blockers like propranolol to manage physical symptoms of akathisia (restlessness/ agitation). Start with low doses and titrate based on response.
326,Benzodiazepines (e.g. lorazepam),Akathisia,Anxiolytic therapy for akathisia,Prescribe benzodiazepines like lorazepam for acute management of akathisia-related anxiety and agitation. Use short-term to avoid dependency.
327,Anticholinergics (e.g. benztropine),Akathisia,Medication to counteract extrapyramidal symptoms in akathisia,Consider anticholinergic agents like benztropine to reduce involuntary movements associated with akathisia. Monitor for side effects and response.
328,Cognitive Behavioral Therapy (CBT),Akathisia,Psychotherapy for coping with akathisia,Engage in cognitive behavioral therapy (CBT) to address distress and maladaptive thoughts associated with akathisia. Develop coping strategies and relaxation techniques.
329,Topical Minoxidil Solution,Alopecia Areata,Topical treatment to promote hair growth in alopecia areata,Apply topical minoxidil solution to stimulate hair growth and treat alopecia areata. Use as directed and monitor for efficacy.
330,Corticosteroid Injections,Alopecia Areata,Intralesional corticosteroid injections for alopecia areata,Administer corticosteroid injections directly into affected areas to suppress immune response and promote hair regrowth in alopecia areata. Repeat as needed.
331,Anthralin Cream,Alopecia Areata,Topical immunomodulator for alopecia areata,Use anthralin cream to modulate immune response and promote hair regrowth in alopecia areata. Follow recommended application instructions and monitor skin irritation.
332,Platelet-Rich Plasma (PRP) Therapy,Alopecia Areata,Regenerative treatment for alopecia areata,Undergo platelet-rich plasma (PRP) therapy to stimulate hair follicle growth and improve hair density in alopecia areata. Repeat sessions may be necessary.
333,Alpha-1 Antitrypsin Augmentation Therapy,Alpha-1 Antitrypsin Deficiency,Replacement therapy for alpha-1 antitrypsin deficiency,Administer alpha-1 antitrypsin augmentation therapy to replace deficient protein and prevent lung damage in alpha-1 antitrypsin deficiency. Monitor lung function regularly.
334,Bronchodilators (e.g. albuterol),Alpha-1 Antitrypsin Deficiency,Medication for bronchial obstruction in alpha-1 antitrypsin deficiency,Use bronchodilators like albuterol to relieve bronchial obstruction and improve airflow in alpha-1 antitrypsin deficiency. Carry inhaler for emergencies.
335,Liver Transplantation,Alpha-1 Antitrypsin Deficiency,Surgical intervention for severe liver disease in alpha-1 antitrypsin deficiency,Consider liver transplantation for severe liver disease resulting from alpha-1 antitrypsin deficiency. Follow transplant team's recommendations.
